code,province,zone,region,population
NL1,NL,Central Health,Baie Verte Area,4991
NL2,NL,Eastern Health,Bauline - Pouch Cove - Flatrock,3842
NL3,NL,Western Health,Bay St. George,17499
NL4,NL,Eastern Health,Bell Island,2436
NL5,NL,Eastern Health,Bonavista Peninsula,7464
NL6,NL,Western Health,Bonne Bay Area,4183
NL7,NL,Central Health,Buchans Area,793
NL8,NL,Western Health,Burgeo Area,1842
NL9,NL,Eastern Health,Burin Peninsula,18761
NL10,NL,Labrador - Grenfell Health,Central / Southeast Labrador,0
NL11,NL,Eastern Health,Clarenville Area,16772
NL12,NL,Central Health,Coast of Bays,6368
NL13,NL,Eastern Health,Conception Bay Central,5898
NL14,NL,Eastern Health,Bay de Verde Peninsula - Conception Bay North,36177
NL15,NL,Eastern Health,Conception Bay South,22770
NL16,NL,Western Health,Corner Brook Area,27094
NL17,NL,Western Health,Deer Lake - White Bay,11528
NL18,NL,Central Health,Exploits,9031
NL19,NL,Central Health,Gander Area,11817
NL20,NL,Central Health,Grand Falls - Windsor Area,13541
NL21,NL,Central Health,Green Bay Area,7618
NL22,NL,Central Health,Kittiwake Coast,8815
NL23,NL,Labrador - Grenfell Health,Labrador West / Northern Labrador,0
NL24,NL,Central Health,Lewisporte Area,8341
NL25,NL,Eastern Health,Logy Bay - Middle Cove - Outer Cove - Torbay,8977
NL26,NL,Eastern Health,Mount Pearl,20068
NL27,NL,Labrador - Grenfell Health,Northern Peninsula,0
NL28,NL,Eastern Health,Paradise,18624
NL29,NL,Eastern Health,Petty Harbour - Maddox Cove,6898
NL30,NL,Eastern Health,Placentia - Whitbourne Area,8277
NL31,NL,Western Health,Port Aux Basques Area,7880
NL32,NL,Western Health,Port Saunders Area,2315
NL33,NL,Eastern Health,Portugal Cove - St. Philips,7019
NL34,NL,Eastern Health,Southern Shore,6943
NL35,NL,Eastern Health,St. John's,98034
NL36,NL,Eastern Health,St. Mary's Area,2150
NL37,NL,Central Health,Terra Nova Area,5900
NL38,NL,Central Health,Notre Dame Bay,9400
NT1,NT,NT,Aklavik,
NT2,NT,NT,Behchokǫ̀,
NT3,NT,NT,Colville Lake,
NT4,NT,NT,Délı̨nę,
NT5,NT,NT,Fort Good Hope,
NT6,NT,NT,Fort Liard,
NT7,NT,NT,Fort McPherson,
NT8,NT,NT,Fort Providence,
NT9,NT,NT,Fort Resolution,
NT10,NT,NT,Fort Simpson,
NT11,NT,NT,Fort Smith,
NT12,NT,NT,Gamètì,
NT13,NT,NT,"Hay River, Kátł'odeeche & Enterprise",
NT14,NT,NT,Inuvik,
NT15,NT,NT,Jean Marie River,
NT16,NT,NT,Kakisa,
NT17,NT,NT,Łutselk'e,
NT18,NT,NT,Nahanni Butte,
NT19,NT,NT,Norman Wells,
NT20,NT,NT,Paulatuk,
NT21,NT,NT,Sachs Harbour,
NT22,NT,NT,Sambaa K'e,
NT23,NT,NT,Tsiigehtchic,
NT24,NT,NT,Tuktoyaktuk,
NT25,NT,NT,Tulita,
NT26,NT,NT,Ulukhaktok,
NT27,NT,NT,Wekweètì,
NT28,NT,NT,Whatì,
NT29,NT,NT,Wrigley,
NT30,NT,NT,"Yellowknife, Ndilǫ & Dettah",
AB1,AB,SOUTH,CROWSNEST PASS,6280
AB2,AB,SOUTH,PINCHER CREEK,8344
AB3,AB,SOUTH,FORT MACLEOD,6753
AB4,AB,SOUTH,CARDSTON-KAINAI,16595
AB5,AB,SOUTH,COUNTY OF LETHBRIDGE,25820
AB6,AB,SOUTH,TABER MD,19028
AB7,AB,SOUTH,COUNTY OF WARNER,11104
AB8,AB,SOUTH,COUNTY OF FORTY MILE,6409
AB9,AB,SOUTH,NEWELL,27753
AB10,AB,SOUTH,OYEN,3486
AB11,AB,SOUTH,CYPRESS COUNTY,11298
AB12,AB,SOUTH,MEDICINE HAT,68115
AB13,AB,SOUTH,LETHBRIDGE - WEST,38163
AB14,AB,SOUTH,LETHBRIDGE - NORTH,27903
AB15,AB,SOUTH,LETHBRIDGE - SOUTH,34464
AB16,AB,CALGARY,CALGARY - UPPER NW,123679
AB17,AB,CALGARY,CALGARY - NORTH,116945
AB18,AB,CALGARY,CALGARY - NOSE HILL,78021
AB19,AB,CALGARY,CALGARY - LOWER NW,62696
AB20,AB,CALGARY,CALGARY - WEST BOW,21283
AB21,AB,CALGARY,CALGARY - CENTRE NORTH,44910
AB22,AB,CALGARY,CALGARY - UPPER NE,120999
AB23,AB,CALGARY,CALGARY - LOWER NE,96472
AB24,AB,CALGARY,CALGARY - EAST,72509
AB25,AB,CALGARY,CALGARY - SE,134420
AB26,AB,CALGARY,CALGARY - WEST,92320
AB27,AB,CALGARY,CALGARY - CENTRE,67568
AB28,AB,CALGARY,CALGARY - CENTRE WEST,65845
AB29,AB,CALGARY,CALGARY - ELBOW,40834
AB30,AB,CALGARY,CALGARY - FISH CREEK,111574
AB31,AB,CALGARY,CALGARY - SW,116934
AB32,AB,CALGARY,OKOTOKS-PRIDDIS,46042
AB33,AB,CALGARY,BLACK DIAMOND,8769
AB34,AB,CALGARY,HIGH RIVER,23739
AB35,AB,CALGARY,CLARESHOLM,6246
AB36,AB,CALGARY,VULCAN,6775
AB37,AB,CALGARY,AIRDRIE,73698
AB38,AB,CALGARY,CHESTERMERE,25015
AB39,AB,CALGARY,STRATHMORE,35685
AB40,AB,CALGARY,CROSSFIELD,9164
AB41,AB,CALGARY,DIDSBURY,16475
AB42,AB,CALGARY,COCHRANE-SPRINGBANK,50816
AB43,AB,CALGARY,CANMORE,27674
AB44,AB,CALGARY,BANFF,13451
AB45,AB,CENTRAL,ROCKY MOUNTAIN HOUSE,20389
AB46,AB,CENTRAL,DRAYTON VALLEY,18075
AB47,AB,CENTRAL,SUNDRE,6782
AB48,AB,CENTRAL,OLDS,12597
AB49,AB,CENTRAL,INNISFAIL,15939
AB50,AB,CENTRAL,RED DEER COUNTY,29495
AB51,AB,CENTRAL,SYLVAN LAKE,18013
AB52,AB,CENTRAL,THREE HILLS/HIGHWAY 21,10816
AB53,AB,CENTRAL,STARLAND COUNTY/DRUMHELLER,11802
AB54,AB,CENTRAL,PLANNING & SPECIAL AREA 2,3648
AB55,AB,CENTRAL,STETTLER & COUNTY,12520
AB56,AB,CENTRAL,CASTOR/CORONATION/CONSORT,6160
AB57,AB,CENTRAL,WETASKIWIN COUNTY,33715
AB58,AB,CENTRAL,PONOKA,12399
AB59,AB,CENTRAL,RIMBEY,10013
AB60,AB,CENTRAL,LACOMBE,23417
AB61,AB,CENTRAL,CAMROSE & COUNTY,30125
AB62,AB,CENTRAL,TOFIELD,7797
AB63,AB,CENTRAL,VIKING,2351
AB64,AB,CENTRAL,FLAGSTAFF COUNTY,8426
AB65,AB,CENTRAL,MD OF PROVOST,4860
AB66,AB,CENTRAL,MD OF WAINWRIGHT,11915
AB67,AB,CENTRAL,LAMONT COUNTY,6388
AB68,AB,CENTRAL,TWO HILLS COUNTY,5579
AB69,AB,CENTRAL,VEGREVILLE/MINBURN COUNTY,10323
AB70,AB,CENTRAL,VERMILION RIVER COUNTY,36740
AB71,AB,CENTRAL,RED DEER - NORTH,35640
AB72,AB,CENTRAL,RED DEER - SW,15679
AB73,AB,CENTRAL,RED DEER - EAST,55069
AB74,AB,EDMONTON,EDMONTON - WOODCROFT EAST,60664
AB75,AB,EDMONTON,EDMONTON - WOODCROFT WEST,33002
AB76,AB,EDMONTON,EDMONTON - JASPER PLACE,46923
AB77,AB,EDMONTON,EDMONTON - WEST JASPER PLACE,103462
AB78,AB,EDMONTON,EDMONTON - CASTLE DOWNS,71594
AB79,AB,EDMONTON,EDMONTON - NORTHGATE,82969
AB80,AB,EDMONTON,EDMONTON - EASTWOOD,72156
AB81,AB,EDMONTON,EDMONTON - ABBOTTSFIELD,14582
AB82,AB,EDMONTON,EDMONTON - NE,90743
AB83,AB,EDMONTON,EDMONTON - BONNIE DOON,96621
AB84,AB,EDMONTON,EDMONTON - MILL WOODS WEST,51150
AB85,AB,EDMONTON,EDMONTON - MILL WOODS SOUTH & EAST,85232
AB86,AB,EDMONTON,EDMONTON - DUGGAN,40132
AB87,AB,EDMONTON,EDMONTON - TWIN BROOKS,75969
AB88,AB,EDMONTON,EDMONTON - RUTHERFORD,112265
AB89,AB,EDMONTON,STURGEON COUNTY WEST,30154
AB90,AB,EDMONTON,STURGEON COUNTY EAST,6095
AB91,AB,EDMONTON,FORT SASKATCHEWAN,26795
AB92,AB,EDMONTON,SHERWOOD PARK,82033
AB93,AB,EDMONTON,STRATHCONA COUNTY EXCLUDING SHERWOOD PARK,17420
AB94,AB,EDMONTON,BEAUMONT,25785
AB95,AB,EDMONTON,LEDUC & DEVON,43021
AB96,AB,EDMONTON,THORSBY,9090
AB97,AB,EDMONTON,STONY PLAIN & SPRUCE GROVE,57833
AB98,AB,EDMONTON,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,36730
AB99,AB,EDMONTON,ST. ALBERT,69588
